title,price,location,bedrooms,bathrooms,sqft,url,post_id,posted_date,updated_date,address,latitude,longitude,housing_type,laundry,parking,description,attributes,image_count
Welcome to Baywood Apartments – Where Comfort & Convenience Meets,"$2,475",,2,,930,https://sfbay.craigslist.org/eby/apa/d/union-city-welcome-to-baywood/7923698952.html,7923698952,2026-03-26T11:02:40-0700,2026-04-02T13:07:27-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"Searching for a comfortable, well-situated place to call home? Explore our 2-bedroom, 1-bath apartment at Baywood Apartments, set in a calm, park-like environment while still being close to all your daily essentials. Enjoy the ideal mix of peaceful living and easy access to shopping, dining, and transportation. Lets take a look at what unit F14 has to offer, shall we.... 🏡 Apartment Features (2 Bedroom / 1 Bath): • Located upstairs for added privacy • Generous living and dining space with plenty of room to spread out • Fully equipped kitchen with stove/oven, refrigerator, dishwasher & garbage disposal • Mirrored closet doors in front of the vanity sink • Cable-ready setup • Private balcony or patio 🌴 Community Amenities: • Refreshing swimming pool • Convenient on-site laundry • Assigned parking per unit • Off-street parking also available • Quiet, well-kept community grounds 💰 Rental Details: 2 Bed / 1 Bath (930 sq ft): $2,475/month • Security Deposit: $1,400 📝 Application Details: • Application Fee: $40 per adult (money order or cashier’s check only) • Holding Deposit: $400 (refundable if application is not approved) • Lease Terms: Month-to-month ✅ Rental Criteria: • Income must be 2.5x the rent (after taxes) • At least 1 year of stable employment • Good credit (no evictions, collections, or rental debt) • Positive rental references 🐾 Pet Policy: • Maximum of 2 pets • Pet Deposit: $500 • Pet Rent: $50/month • 25 lb weight limit • Breed restrictions may apply • Pet meet-and-greet required 📆 Office Hours: Monday – Saturday | 9:00 AM – 6:00 PM 📞 Schedule a Tour Today! Call or text: show contact info Discover why Baywood Apartments is a great place to call home comfortable, convenient, and inviting.",2BR / 1Ba | 930ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | apartment | dogs are OK - wooof | laundry on site | detached garage,19
1 Bedroom Apartment Available at Baywood Apartments – Convenient Union,"$2,195",,1,,815,https://sfbay.craigslist.org/eby/apa/d/union-city-bedroom-apartment-available/7923565828.html,7923565828,2026-03-25T17:04:14-0700,2026-04-02T13:07:26-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry in bldg,detached garage,"Now available! This comfortable 1-bedroom, 1-bathroom apartment offers a spacious layout in a quiet, well-maintained community. 💲 Rent: $2,195/month Apartment Features: • Spacious 1-bedroom floor plan • Bright living room with great natural light • Full bathroom • Kitchen with stove and refrigerator • Ample closet and storage space Community Highlights: • Clean, well-kept property • Peaceful residential setting • On-site management Location: Conveniently located near shopping centers, restaurants, and major commuter routes with easy access to I-880 and public transportation. 📞 Call: show contact info 🌐 Website: https://thebaywoodapartments.com/ Schedule a tour today and see if this is the right fit for you! Equal Housing Opportunity",1BR / 1Ba | 815ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | laundry in bldg | detached garage | EV charging,19
"$2,145 / 2br - 930ft- Now Leasing | Family 2 Bedroom Living","$2,475",,2,,930,https://sfbay.craigslist.org/eby/apa/d/union-city-br-930ft-now-leasing-family/7923555697.html,7923555697,2026-03-25T16:08:26-0700,2026-04-02T13:07:25-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"$2,475/month | 2 Bed • 1 Bath Experience refined comfort and effortless living in this beautifully maintained 2-bedroom apartment, designed with space, simplicity, and convenience in mind. Apartment Highlights: • Spacious, thoughtfully designed 1-bedroom layout • Open living and dining area perfect for relaxing or entertaining • Well-appointed kitchen with ample cabinetry • Clean, modern bathroom • Meticulously maintained interiors Community Features: • Professionally managed community • Responsive on-site maintenance • Peaceful, well-kept surroundings Prime Location: Ideally situated near shopping, dining, and everyday essentials, with easy access to major commuter routes bringing convenience right to your doorstep. Now offering immediate availability Call: show contact info https://thebaywoodapartments.com/ Contact us today to schedule your private tour Discover comfort, convenience, and a place to truly feel at home. Equal Housing Opportunity",2BR / 1Ba | 930ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | dogs are OK - wooof | laundry on site | detached garage,19
Baywood Apartments – Comfortable Living in a Great Location,"$2,575",,2,,930,https://sfbay.craigslist.org/eby/apa/d/union-city-baywood-apartments/7923510827.html,7923510827,2026-03-25T12:50:29-0700,2026-04-02T13:07:24-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"$2,575 /month | 2 Bed • 1 Bath Experience refined comfort and effortless living in this beautifully maintained 1-bedroom apartment, designed with space, simplicity, and convenience in mind. Apartment Highlights: Spacious, thoughtfully designed 2-bedroom layout Open living and dining area perfect for relaxing or entertaining Well-appointed kitchen with ample cabinetry. + New cabinet faces Clean, modern bathroom Meticulously maintained interiors Unit located downstairs and is next to a laundry room Community Features: Professionally managed community Responsive on-site maintenance Peaceful, well-kept surroundings Prime Location: Ideally situated near shopping, dining, and everyday essentials, with easy access to major commuter routes—bringing convenience right to your doorstep. Move in ready Call: show contact info ask for unit I8 https://thebaywoodapartments.com Contact us today to schedule your private tour of I8 today Discover comfort, convenience, and a place to truly feel at home. Equal Housing Opportunity",2BR / 1Ba | 930ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | apartment | laundry on site | detached garage,16
"$2,195 / 1br - 815ft2 - Spacious 1-Bedroom in Prime Hayward Location,","$2,195",,1,,815,https://sfbay.craigslist.org/eby/apa/d/union-city-br-815ft2-spacious-bedroom/7923496386.html,7923496386,2026-03-25T11:52:26-0700,2026-04-02T13:07:23-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"Looking for a comfortable place to call home? Come see this beautiful 1 Bedroom / 1 Bathroom apartment at Baywood Apartments! 1 Bedroom 1 Bathroom Peaceful Community Setting Interior Features: Bright and open living area Functional kitchen with ample cabinet space Spacious bedroom with great closet storage Clean, well-maintained unit Community Perks: On-site laundry facilities located right outside C2's gate! Professional on-site management Landscaped grounds Convenient resident parking Swimming Pool also located outside C2's gate. Prime Location: Easy access to I-880 & Hwy 92 Close to shopping centers, restaurants, and transit Learn more: https://thebaywoodapartments.com Call show contact info for info and to schedule a tour! Ask for C2 Equal Housing Opportunity",1BR / 1Ba | 815ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | dogs are OK - wooof | laundry on site | detached garage,17
Now Available – Spacious 2BR Apartment in Union City | Gated Community,"$2,550",,2,,955,https://sfbay.craigslist.org/eby/apa/d/union-city-now-available-spacious-2br/7923355038.html,7923355038,2026-03-24T17:53:58-0700,2026-04-02T13:07:22-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"Now Available – Spacious 2 Bedroom / 1 Bathroom Apartment at Baywood Apartments! Looking for a comfortable place to call home? Come take a look at this beautiful and inviting 2 bedroom apartment in a peaceful, well-maintained community. 2 Bedrooms 1 Bathroom Quiet, Relaxing Community Apartment Features: • Bright and open living area with great natural light • Functional kitchen with ample cabinet space • Two spacious bedrooms with generous closet storage • Clean, well-maintained interior Community Amenities: • On-site laundry conveniently located near the unit • Professional on-site management • Landscaped grounds • Resident parking available • Swimming pool access Prime Location: • Easy access to I-880 & Hwy 92 • Close to shopping, dining, and public transportation Website: https://thebaywoodapartments.com Call show contact info for more information and to schedule a tour Equal Housing Opportunity",2BR / 1Ba | 955ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | laundry on site | detached garage,20
"1BR Apartment in Hayward – Spacious Layout , Parking Included – $2,145","$2,145",,1,,745,https://sfbay.craigslist.org/eby/apa/d/union-city-1br-apartment-in-hayward/7923278840.html,7923278840,2026-03-24T12:01:47-0700,2026-04-02T13:07:21-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"📍 Hayward, CA 💲 $2,145/month 📅 Available Now Now leasing at Baywood Apartments! Enjoy comfortable, convenient living in this well-maintained 1 bedroom, 1 bathroom apartment located in a quiet community in Hayward. 🏡 Apartment Features: • Spacious 1 bedroom / 1 bathroom layout 745 sq ft • Bright living area with natural light • Kitchen with ample cabinet space • Large bedroom with generous closet • Clean, well-kept bathroom • Assigned parking included • On-site laundry facilities 🌳 Community Highlights: • Professionally managed property • Peaceful, well-maintained grounds • Close to shopping, dining, and public transportation • Easy access to major commuter routes 📞 Call: show contact info 🌐 https://thebaywoodapartments.com Schedule a tour today — this apartment is available now ask for B5 Equal Housing Opportunity",1BR / 1Ba | 745ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | dogs are OK - wooof | laundry on site | detached garage,13
"$2,575 / 2br - 930ft2 - 2BR Apartment in Hayward – Gated Community","$2,575",,2,,930,https://sfbay.craigslist.org/eby/apa/d/union-city-br-930ft2-2br-apartment-in/7923273667.html,7923273667,2026-03-24T11:43:16-0700,2026-04-02T13:07:20-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"Experience comfort and space in this beautifully maintained 2-bedroom apartment located in a gated, professionally managed community. Apartment Features: Spacious 2 bed / 1 bath layout 930 sq ft Stunning vaulted ceilings for an open, airy feel Large living & dining area – great for relaxing or entertaining Updated kitchen with new cabinet faces & ample storage Clean, modern bathroom Downstairs unit next to laundry room for convenience Bright, well-maintained interior Community Features: Gated community Peaceful, well-kept surroundings On-site maintenance & professional management Prime Location: Close to shopping, dining, and major commuter routes — easy access to San Leandro ,Union City and Fremont Rental Details: Rent: $2,575/month Security Deposit: $1,400 (on approved credit) Holding Deposit: $400 Application Fee: $40 per applicant Call: show contact info https://thebaywoodapartments.com Schedule your tour today this spacious unit won’t last! Ask about I8 is ready for move in",2BR / 1Ba | 930ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | dogs are OK - wooof | laundry on site | detached garage,13
Effortless living in this beautiful one bedroom one bath,"$2,195",,1,,815,https://sfbay.craigslist.org/eby/apa/d/union-city-effortless-living-in-this/7923244725.html,7923244725,2026-03-24T10:02:51-0700,2026-04-02T13:07:19-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"Experience refined comfort and effortless living in this beautifully maintained 1-bedroom apartment, designed with space, simplicity, and convenience in mind. Apartment Highlights: • Spacious, thoughtfully designed 1-bedroom layout • Open living and dining area perfect for relaxing or entertaining • Well-appointed kitchen with ample cabinetry + new cabinet faces • Clean, modern bathroom • Meticulously maintained interiors • Downstairs unit conveniently located next to the laundry room Community Features: • Professionally managed community • Responsive on-site maintenance • Peaceful, well-kept surroundings Prime Location: Ideally situated walking distance to shopping center with dining, and everyday essentials, with easy access to major commuter routes—bringing convenience right to your doorstep. Rental Details: • Rent: $2,195/month • Security Deposit: $1,400 (on approved credit) • Holding Deposit: $400 • Application Fee: $40 per applicant Availability: Move in Ready Call: show contact info Visit: https://thebaywoodapartments.com Contact us today to schedule your private tour of C2 Discover comfort, convenience, and a place to truly feel at home. Equal Housing Opportunity",1BR / 1Ba | 815ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | dogs are OK - wooof | laundry on site | detached garage,14
2 Bedroom Apartment – Available 04/08 – Downstairs Unit,"$2,550",,2,,955,https://sfbay.craigslist.org/eby/apa/d/union-city-bedroom-apartment-available/7922742863.html,7922742863,2026-03-21T17:57:34-0700,2026-04-02T15:12:48-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"Experience comfortable and convenient living in this well-maintained 1-bedroom apartment, designed with a functional layout and a clean, inviting feel. Apartment Features: 2 bedroom / 1 bathroom Spacious, well-designed layout Open living and dining area Kitchen with ample cabinet space + new cabinet faces Clean, updated bathroom Well-maintained interior Downstairs unit Located next to on-site laundry Community Features: Professionally managed community Responsive maintenance Quiet, well-kept surroundings Location: Conveniently located near shopping, dining, and everyday essentials with easy access to major commuter routes. Rental Details: Rent: $2,550/month Security Deposit: $1,400 (on approved credit) Holding Deposit: $400 Application Fee: $40 per applicant Availability: Move-in ready 04/08 Call to schedule a tour: show contact info (ask for Unit G3) Website https://thebaywoodapartments.com Equal Housing Opportunity",2BR / 1Ba | 955ft2 | available apr 8 | application fee details: | $40 Application Fee | rent period: | monthly | apartment | laundry on site | detached garage,15
Relax in you're 1 Bedroom Apartment at Baywood Apartments,"$2,145",,1,,745,https://sfbay.craigslist.org/eby/apa/d/union-city-relax-in-youre-bedroom/7922733820.html,7922733820,2026-03-21T16:55:16-0700,2026-04-02T13:07:18-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"This comfortable 1-bedroom, 1-bath apartment home offers a bright and functional layout in a well-maintained community. Perfect for professionals, couples, or anyone looking for a convenient and affordable East Bay location. Apartment Features: • Spacious living room with natural light • Fully equipped kitchen with ample cabinet space • Generous bedroom with large closet • Assigned parking available • On-site laundry facilities • Plenty of extra street parking Prime Location: • Easy access to I-880, I-580 & Highway 92 • Minutes to BART stations • Walking distance to shopping centers, schools, dining, grocery stores, gyms, gas stations and parks • Convenient commute throughout the Bay Area Call Today: show contact info Website: https://www.apartments.com/profile/gxgeqyw?openReview=true We are proud to be an Equal Housing Opportunity community. Contact us today to schedule your tour — your new home at Baywood Apartments is waiting! Ask for unit",1BR / 1Ba | 745ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | dogs are OK - wooof | laundry on site | detached garage,13
Baywood Apartments – Unit I8 – 2 Bedroom / 1 Bathroom,"$2,575",,2,,930,https://sfbay.craigslist.org/eby/apa/d/union-city-baywood-apartments-unit-i8/7922670073.html,7922670073,2026-03-21T11:35:35-0700,2026-04-02T13:07:17-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"Baywood Apartments is now leasing Unit I8, a spacious 2 bedroom / 1 bathroom apartment located in a quiet, well-maintained gated community. This unit features a spacious floor plan with vaulted ceilings, creating an open and airy living space with plenty of natural light. Apartment Features: 2 bedroom / 1 bathroom Spacious layout (approx. 930 sq ft) Vaulted ceilings Bright unit with natural light Comfortable living and dining area Located in a gated community Professionally managed property One assigned parking space per unit additional parking available on the street with ample surrounding availability Utilities Included: Water Trash Sewer Rent: $2,575/month Deposit: $1,400 Application Fee: $40 Lease Terms: Month-to-month Conveniently located within walking distance to shopping, dining, and everyday essentials. Call or text to schedule a tour: show contact info Website: https://thebaywoodapartments.com/ Equal Housing Opportunity",2BR / 1Ba | 930ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | laundry on site | detached garage,12
"Spacious 1-Bedroom in Prime Hayward Location,  Baywood Apartments","$2,195",,1,,815,https://sfbay.craigslist.org/eby/apa/d/union-city-spacious-bedroom-in-prime/7922653771.html,7922653771,2026-03-21T10:30:42-0700,2026-04-02T13:07:16-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"Looking for a comfortable place to call home? Come see this beautiful 1 Bedroom / 1 Bathroom apartment at Baywood Apartments! 🛏 1 Bedroom 🛁 1 Bathroom 🌿 Peaceful Community Setting 🏡 Interior Features: Bright and open living area Functional kitchen with ample cabinet space Spacious bedroom with great closet storage Clean, well-maintained unit 🌳 Community Perks: On-site laundry facilities located right outside C2's gate! Professional on-site management Landscaped grounds Convenient resident parking Swimming Pool also located outside C2's gate. 📍 Prime Location: Easy access to I-880 & Hwy 92 Close to shopping centers, restaurants, and transit 🌐 Learn more: https://thebaywoodapartments.com/ 📞 Call show contact info for info today to schedule a tour! Ask for C2 Equal Housing Opportunity",1BR / 1Ba | 815ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | dogs are OK - wooof | laundry on site | detached garage,13
Walk to Shopping| 2BR 930 Sq Ft | Vaulted Ceilings | Gated | Pets,"$2,575",,2,,930,https://sfbay.craigslist.org/eby/apa/d/union-city-walk-to-shopping-2br-930-sq/7922537439.html,7922537439,2026-03-20T16:33:06-0700,2026-04-02T13:07:15-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"2 Bedroom Apartment – Available Now – $2,575 – Vaulted Ceilings – Gated Community I8 is a 2 bedroom, 1 bathroom apartment available now. Approximately 930 sq ft with a spacious layout and vaulted ceilings that create an open, airy feel. Features: 2 bedrooms / 1 bathroom Approximately 930 sq ft Vaulted ceilings Spacious living area Located in a gated community Good natural light Functional kitchen with cabinet space Well-maintained unit Walking distance to nearby shopping center Pets welcome Community walking paths 1 assigned parking space per unit Ample street parking nearby Rent: $2,575 per month Security Deposit: $1,400 Application Fee: $40 Lease Terms: Month-to-month Convenient location with shopping, dining, and everyday essentials just steps from your door. Available now for move-in To schedule a showing: Call show contact info and ask to see unit I8",2BR / 1Ba | 930ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | dogs are OK - wooof | laundry on site | detached garage,14
WAIT—don’t scroll if you’re looking for a cute apartment 👀,"$2,195",,1,,815,https://sfbay.craigslist.org/eby/apa/d/union-city-waitdont-scroll-if-youre/7922529430.html,7922529430,2026-03-20T15:51:26-0700,2026-04-02T13:07:14-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"Apartment for Rent – 1 Bedroom / 815 Sq Ft – $2195 1 bedroom, 1 bathroom apartment available for rent. Come home to a comfy layout and good natural light. Features: Bottom floor unit (no stairs) Huge layout Full bathroom Extra sink Carpet and hard surface flooring Window coverings included electric appliances Extra Perk for unit C2 is next to the pool and laundry room. You're back patio gate opens into the pool and laundry area. Rent: $2175 per month Security deposit: $40 each adult Lease terms: Month to Month Photos show walking distance from shopping, dining, gyms, gas stations and public transportation. To schedule a showing: Call the Baywood office at show contact info ask for unit C2 Serious inquiries only.",1BR / 1Ba | 815ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | dogs are OK - wooof | laundry on site | detached garage,14
"Spacious 2-Bedroom in Prime Hayward Location,  Baywood Apartments","$2,575",,2,,955,https://sfbay.craigslist.org/eby/apa/d/union-city-spacious-bedroom-in-prime/7922478033.html,7922478033,2026-03-20T12:11:32-0700,2026-04-02T13:07:13-0700,31108 Brae Burn Avenue near Gresel Street,37.617938,-122.038578,apartment,laundry on site,detached garage,"$2,575 /month | 2 Bed • 1 Bath Experience refined comfort and effortless living in this beautifully maintained 1-bedroom apartment, designed with space, simplicity, and convenience in mind. Apartment Highlights: • Spacious, thoughtfully designed 2-bedroom layout • Open living and dining area perfect for relaxing or entertaining • Well-appointed kitchen with ample cabinetry. + New cabinet faces • Clean, modern bathroom • Meticulously maintained interiors • Unit located downstairs and is next to a laundry room Community Features: • Professionally managed community • Responsive on-site maintenance • Peaceful, well-kept surroundings Prime Location: Ideally situated near shopping, dining, and everyday essentials, with easy access to major commuter routes—bringing convenience right to your doorstep. Move in ready 04/01 Call: show contact info ask for unit G3 https://thebaywoodapartments.com/ Contact us today to schedule your private tour of G3 today Discover comfort, convenience, and a place to truly feel at home. Equal Housing Opportunity",2BR / 1Ba | 955ft2 | available now | application fee details: | $40 Application Fee | rent period: | monthly | cats are OK - purrr | apartment | dogs are OK - wooof | laundry on site | detached garage,14
